Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ArrangeByLogin,Chrome 122.0.0.0,first only not login test case will run after that 1 login is performed and next all remaining login test case will run,,23-02-2024 19:29:20,23-02-2024 20:33:07,1h - 3m - 47.079s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_001,Chrome 122.0.0.0,To Verify that user is able to the access the site by typing Redesign URL in the browse.,,23-02-2024 19:29:44,23-02-2024 19:30:08,24.203s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:29:44,23-02-2024 19:29:45,0.429s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:29:45,23-02-2024 19:30:08,23.548s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_002,Chrome 122.0.0.0,"To verify  that system display the following link in the header
1.Departmentos
2.Marcas
3.Credito
4.Mesa de regalosa 
5.Search text box
6.Iniciar sesion
7.Ubica tu tienda 
8.Mis pedidos
9.Ayuda",,23-02-2024 19:30:08,23-02-2024 19:30:35,26.336s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:08,23-02-2024 19:30:09,0.314s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Departamentos""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:09,23-02-2024 19:30:09,0.330s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand1_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:09,23-02-2024 19:30:09,0.314s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand2_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:09,23-02-2024 19:30:10,0.297s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand3_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:10,23-02-2024 19:30:10,0.330s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand4_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:10,23-02-2024 19:30:10,0.315s,PASSED
"verifyElementPresent(findTestObject(""HomePage/mesa_de_regalos_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:10,23-02-2024 19:30:11,0.346s,PASSED
"verifyElementPresent(findTestObject(""HomePage/credito_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:11,23-02-2024 19:30:11,0.361s,PASSED
"verifyElementPresent(findTestObject(""HomePage/MainSearchbar_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:11,23-02-2024 19:30:11,0.333s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Iniciar sesion""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:11,23-02-2024 19:30:12,0.301s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Tiendas_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:12,23-02-2024 19:30:12,0.294s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Ayuda_HP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:30:12,23-02-2024 19:30:12,0.315s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:30:12,23-02-2024 19:30:35,22.423s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_003,Chrome 122.0.0.0,To verify the display of L1 category flyout on mouse hover the Departmentos link,,23-02-2024 19:30:35,23-02-2024 19:31:25,50.234s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,23-02-2024 19:30:35,23-02-2024 19:30:36,1.078s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,23-02-2024 19:30:36,23-02-2024 19:30:59,23.481s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""))",Chrome 122.0.0.0,,,23-02-2024 19:30:59,23-02-2024 19:31:00,0.690s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,23-02-2024 19:31:00,23-02-2024 19:31:00,0.330s,PASSED
"click(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,23-02-2024 19:31:00,23-02-2024 19:31:01,0.406s,PASSED
"mouseOver(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,23-02-2024 19:31:01,23-02-2024 19:31:02,0.726s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L2CategoryInFlyout_HP""))",Chrome 122.0.0.0,,,23-02-2024 19:31:02,23-02-2024 19:31:02,0.349s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L3CategoriesInFlyout_HP""))",Chrome 122.0.0.0,,,23-02-2024 19:31:02,23-02-2024 19:31:02,0.322s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:31:02,23-02-2024 19:31:25,22.768s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_007,Chrome 122.0.0.0,To verify the display of Login overlay when Anonymous user click on  Iniciar sesion link,,23-02-2024 19:31:25,23-02-2024 19:32:05,39.975s,PASSED
waitForPageLoad(5),Chrome 122.0.0.0,,,23-02-2024 19:31:25,23-02-2024 19:31:25,0.040s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:31:25,23-02-2024 19:31:26,0.443s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterUsername_LP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:31:26,23-02-2024 19:31:33,7.615s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterPassword_LP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:31:33,23-02-2024 19:31:34,0.335s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,23-02-2024 19:31:34,23-02-2024 19:31:42,8.477s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:31:42,23-02-2024 19:32:05,22.962s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_008,Chrome 122.0.0.0,"To verify that the user is navigated to  ""Tiendas""( Store locator) page by clicking on the  “Ubica tu tienda "" link on the header section.",,23-02-2024 19:32:05,23-02-2024 19:32:55,49.638s,PASSED
"click(findTestObject(""HomePage/Tiendas_HP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:32:05,23-02-2024 19:32:05,0.395s,PASSED
"verifyElementPresent(findTestObject(""SLP/breadCrumb_SLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:32:05,23-02-2024 19:32:14,8.293s,PASSED
"verifyElementPresent(findTestObject(""SLP/Map_Verify_slp""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:32:14,23-02-2024 19:32:14,0.307s,PASSED
